last_name,first_name,middle_name,suffix,nickname,full_name,birthday,gender,type,state,district,senate_class,party,url,address,phone,twitter,facebook,youtube_id,bioguide_id,wikipedia_id
Brown,Sherrod,,,,Sherrod Brown,1952-11-09,M,sen,OH,,1,Democrat,https://www.brown.senate.gov,503 Hart Senate Office Building Washington DC 20510,202-224-2315,SenSherrodBrown,SenatorSherrodBrown,UCgy8jfERh-t_ixkKKoCmglQ,B000944,Sherrod Brown
Cantwell,Maria,,,,Maria Cantwell,1958-10-13,F,sen,WA,,1,Democrat,https://www.cantwell.senate.gov,511 Hart Senate Office Building Washington DC 20510,202-224-3441,SenatorCantwell,senatorcantwell,UCN52UDqKgvHRk39ncySrIMw,C000127,Maria Cantwell
Cardin,Benjamin,L.,,,Benjamin L. Cardin,1943-10-05,M,sen,MD,,1,Democrat,https://www.cardin.senate.gov,509 Hart Senate Office Building Washington DC 20510,202-224-4524,SenatorCardin,senatorbencardin,UCiQaJnMzlfzzG3VESgyZChA,C000141,Ben Cardin
Carper,Thomas,Richard,,,Thomas R. Carper,1947-01-23,M,sen,DE,,1,Democrat,https://www.carper.senate.gov/public,513 Hart Senate Office Building Washington DC 20510,202-224-2441,SenatorCarper,tomcarper,UCgLnvbKwu4B3navofj6Qvvw,C000174,Tom Carper
Casey,Robert,P.,Jr.,Bob,"Robert P. Casey, Jr.",1960-04-13,M,sen,PA,,1,Democrat,https://www.casey.senate.gov,393 Russell Senate Office Building Washington DC 20510,202-224-6324,SenBobCasey,SenatorBobCasey,UCtVssXhx-KuZa-hSvnsnJ0A,C001070,Bob Casey Jr.
Feinstein,Dianne,,,,Dianne Feinstein,1933-06-22,F,sen,CA,,1,Democrat,https://www.feinstein.senate.gov,331 Hart Senate Office Building Washington DC 20510,202-224-3841,SenFeinstein,senatorfeinstein,UCtVC--6LR0ff2aOP8THpuEw,F000062,Dianne Feinstein
Klobuchar,Amy,Jean,,,Amy Klobuchar,1960-05-25,F,sen,MN,,1,Democrat,https://www.klobuchar.senate.gov,425 Dirksen Senate Office Building Washington DC 20510,202-224-3244,SenAmyKlobuchar,,UCvdeJsDsV51tFb_hVqvtYGA,K000367,Amy Klobuchar
Menendez,Robert,,,Bob,Robert Menendez,1954-01-01,M,sen,NJ,,1,Democrat,https://www.menendez.senate.gov,528 Hart Senate Office Building Washington DC 20510,202-224-4744,SenatorMenendez,senatormenendez,UC0PV0K9Z5a9p3D5917KF5fw,M000639,Bob Menendez
Sanders,Bernard,,,Bernie,Bernard Sanders,1941-09-08,M,sen,VT,,1,Independent,https://www.sanders.senate.gov,332 Dirksen Senate Office Building Washington DC 20510,202-224-5141,SenSanders,senatorsanders,UCD_DaKNac0Ta-2PeHuoQ1uA,S000033,Bernie Sanders
Stabenow,Debbie,Ann,,,Debbie Stabenow,1950-04-29,F,sen,MI,,1,Democrat,https://www.stabenow.senate.gov,731 Hart Senate Office Building Washington DC 20510,202-224-4822,SenStabenow,SenatorStabenow,UCFoDKCvxSwCUfDv-4Eg4K5A,S000770,Debbie Stabenow
Tester,Jon,,,,Jon Tester,1956-08-21,M,sen,MT,,1,Democrat,https://www.tester.senate.gov,311 Hart Senate Office Building Washington DC 20510,202-224-2644,SenatorTester,senatortester,UCgXAF-CON1coZFMxQkfj0fg,T000464,Jon Tester
Whitehouse,Sheldon,,,,Sheldon Whitehouse,1955-10-20,M,sen,RI,,1,Democrat,https://www.whitehouse.senate.gov,530 Hart Senate Office Building Washington DC 20510,202-224-2921,SenWhitehouse,SenatorWhitehouse,UCnG0N70SNBkNqvIMLodPTIA,W000802,Sheldon Whitehouse
Barrasso,John,A.,,,John Barrasso,1952-07-21,M,sen,WY,,1,Republican,https://www.barrasso.senate.gov,307 Dirksen Senate Office Building Washington DC 20510,202-224-6441,SenJohnBarrasso,johnbarrasso,UC80PfiCAB2Fe1MFayWlR6GQ,B001261,John Barrasso
Wicker,Roger,F.,,,Roger F. Wicker,1951-07-05,M,sen,MS,,1,Republican,https://www.wicker.senate.gov,555 Dirksen Senate Office Building Washington DC 20510,202-224-6253,SenatorWicker,SenatorWicker,UCIlKHiTjSkcQP_knBcXHWSg,W000437,Roger Wicker
Alexander,Lamar,,,,Lamar Alexander,1940-07-03,M,sen,TN,,2,Republican,https://www.alexander.senate.gov/public,455 Dirksen Senate Office Building Washington DC 20510,202-224-4944,SenAlexander,senatorlamaralexander,UChDLBjn5RWqgMmCSswT05IQ,A000360,Lamar Alexander
Collins,Susan,M.,,,Susan M. Collins,1952-12-07,F,sen,ME,,2,Republican,https://www.collins.senate.gov,413 Dirksen Senate Office Building Washington DC 20510,202-224-2523,SenatorCollins,susancollins,UC6GYaBx5kT2r4PN8KENxC-w,C001035,Susan Collins
Cornyn,John,,,,John Cornyn,1952-02-02,M,sen,TX,,2,Republican,https://www.cornyn.senate.gov,517 Hart Senate Office Building Washington DC 20510,202-224-2934,JohnCornyn,sen.johncornyn,UCyQwLQavlOaJ64YuY_VMtiQ,C001056,John Cornyn
Durbin,Richard,J.,,,Richard J. Durbin,1944-11-21,M,sen,IL,,2,Democrat,https://www.durbin.senate.gov,711 Hart Senate Office Building Washington DC 20510,202-224-2152,SenatorDurbin,SenatorDurbin,UCkbixlNCxcKAffEhe3X5-lw,D000563,Dick Durbin
Enzi,Michael,B.,,,Michael B. Enzi,1944-02-01,M,sen,WY,,2,Republican,https://www.enzi.senate.gov,379A Russell Senate Office Building Washington DC 20510,202-224-3424,SenatorEnzi,mikeenzi,UCipEXEDAKVPj_B0cQjaikEA,E000285,Mike Enzi
Graham,Lindsey,O.,,,Lindsey Graham,1955-07-09,M,sen,SC,,2,Republican,https://www.lgraham.senate.gov/public,290 Russell Senate Office Building Washington DC 20510,202-224-5972,GrahamBlog,USSenatorLindseyGraham,UClLGZMA5Ei2Z8fR1PLEx6yQ,G000359,Lindsey Graham
Inhofe,James,M.,,Jim,James M. Inhofe,1934-11-17,M,sen,OK,,2,Republican,https://www.inhofe.senate.gov,205 Russell Senate Office Building Washington DC 20510,202-224-4721,InhofePress,jiminhofe,UCk3W3ilX8vGG-300qzNpG7w,I000024,Jim Inhofe
McConnell,Mitch,,,,Mitch McConnell,1942-02-20,M,sen,KY,,2,Republican,https://www.mcconnell.senate.gov,317 Russell Senate Office Building Washington DC 20510,202-224-2541,McConnellPress,mitchmcconnell,,M000355,Mitch McConnell
Merkley,Jeff,,,,Jeff Merkley,1956-10-24,M,sen,OR,,2,Democrat,https://www.merkley.senate.gov,313 Hart Senate Office Building Washington DC 20510,202-224-3753,SenJeffMerkley,jeffmerkley,UCRoXttCJhMnLVCxCaa6VnNQ,M001176,Jeff Merkley
Reed,John,F.,,Jack,Jack Reed,1949-11-12,M,sen,RI,,2,Democrat,https://www.reed.senate.gov,728 Hart Senate Office Building Washington DC 20510,202-224-4642,SenJackReed,SenJackReed,UCT_aFVtsjxPwWKfO-PW_hPw,R000122,Jack Reed (Rhode Island politician)
Risch,James,,,,James E. Risch,1943-05-03,M,sen,ID,,2,Republican,https://www.risch.senate.gov,483 Russell Senate Office Building Washington DC 20510,202-224-2752,SenatorRisch,senatorjimrisch,UCncKW8xyT5UbPNO27YuQnBA,R000584,Jim Risch
Roberts,Pat,,,,Pat Roberts,1936-04-20,M,sen,KS,,2,Republican,https://www.roberts.senate.gov,109 Hart Senate Office Building Washington DC 20510,202-224-4774,SenPatRoberts,SenPatRoberts,UCRpswvC8LgxzE9AYSFpqUgw,R000307,Pat Roberts
Shaheen,Jeanne,,,,Jeanne Shaheen,1947-01-28,F,sen,NH,,2,Democrat,https://www.shaheen.senate.gov,506 Hart Senate Office Building Washington DC 20510,202-224-2841,SenatorShaheen,SenatorShaheen,UCjLZAZMbDrybHyttdEC9LFA,S001181,Jeanne Shaheen
Udall,Tom,S.,,,Tom Udall,1948-05-18,M,sen,NM,,2,Democrat,https://www.tomudall.senate.gov,531 Hart Senate Office Building Washington DC 20510,202-224-6621,SenatorTomUdall,senatortomudall,UCADpIVS6bxOcr-uWnJCC9pQ,U000039,Tom Udall
Warner,Mark,,,,Mark R. Warner,1954-12-15,M,sen,VA,,2,Democrat,https://www.warner.senate.gov,703 Hart Senate Office Building Washington DC 20510,202-224-2023,MarkWarner,MarkRWarner,UCwyivNlEGf4sGd1oDLfY5jw,W000805,Mark Warner
Gillibrand,Kirsten,E.,,,Kirsten E. Gillibrand,1966-12-09,F,sen,NY,,1,Democrat,https://www.gillibrand.senate.gov,478 Russell Senate Office Building Washington DC 20510,202-224-4451,GillibrandNY,SenKirstenGillibrand,UCVEloQogVsmnkd5vxJInmYg,G000555,Kirsten Gillibrand
Coons,Chris,Andrew,,,Christopher A. Coons,1963-09-09,M,sen,DE,,2,Democrat,https://www.coons.senate.gov,218 Russell Senate Office Building Washington DC 20510,202-224-5042,ChrisCoons,senatorchriscoons,UC2lOVbsddn1HIkcDnmCw6tA,C001088,Chris Coons
Manchin,Joe,,III,,"Joe Manchin, III",1947-08-24,M,sen,WV,,1,Democrat,https://www.manchin.senate.gov,306 Hart Senate Office Building Washington DC 20510,202-224-3954,Sen_JoeManchin,JoeManchinIII,UCGyPK_ye2ptpzQgOjKIn7ag,M001183,Joe Manchin
Aderholt,Robert,B.,,,Robert B. Aderholt,1965-07-22,M,rep,AL,4,,Republican,https://aderholt.house.gov,1203 Longworth House Office Building; Washington DC 20515-0104,202-225-4876,Robert_Aderholt,RobertAderholt,UC71CAgpg1gbLTew_pfTneGA,A000055,Robert Aderholt
Amash,Justin,,,,Justin Amash,1980-04-18,M,rep,MI,3,,Libertarian,https://amash.house.gov,106 Cannon House Office Building; Washington DC 20515-2203,202-225-3831,,repjustinamash,UCeg6HhoCXrS8xpON9dxtZgA,A000367,Justin Amash
Baldwin,Tammy,,,,Tammy Baldwin,1962-02-11,F,sen,WI,,1,Democrat,https://www.baldwin.senate.gov,709 Hart Senate Office Building Washington DC 20510,202-224-5653,SenatorBaldwin,senatortammybaldwin,UC_XjYCRbbI2_TDDjJidwk0Q,B001230,Tammy Baldwin
Bass,Karen,,,,Karen Bass,1953-10-03,F,rep,CA,37,,Democrat,https://bass.house.gov,2059 Rayburn House Office Building; Washington DC 20515-0537,202-225-7084,RepKarenBass,RepKarenBass,UCQZg7oxkV3Yag2emYPLhT2g,B001270,Karen Bass
Bennet,Michael,F.,,,Michael F. Bennet,1964-11-28,M,sen,CO,,3,Democrat,https://www.bennet.senate.gov/public,261 Russell Senate Office Building Washington DC 20510,202-224-5852,SenatorBennet,senbennetco,UCXB3cljpMwTyCUyLr2ZVLow,B001267,Michael Bennet
Bilirakis,Gus,M.,,,Gus M. Bilirakis,1963-02-08,M,rep,FL,12,,Republican,https://bilirakis.house.gov,2227 Rayburn House Office Building; Washington DC 20515-0912,202-225-5755,RepGusBilirakis,GusBilirakis,UC2z1uu1n4-60xXs5x1mvLJw,B001257,Gus Bilirakis
Bishop,Rob,,,,Rob Bishop,1951-07-13,M,rep,UT,1,,Republican,https://robbishop.house.gov,123 Cannon House Office Building; Washington DC 20515-4401,202-225-0453,RepRobBishop,RepRobBishop,UCJC2BXNGQEUom7Tp7FKfxlQ,B001250,Rob Bishop
Bishop,Sanford,D.,Jr.,,"Sanford D. Bishop, Jr.",1947-02-04,M,rep,GA,2,,Democrat,https://bishop.house.gov,2407 Rayburn House Office Building; Washington DC 20515-1002,202-225-3631,SanfordBishop,sanfordbishop,UCxF9veLBrkr_CqVq5eFYVGg,B000490,Sanford Bishop
Blackburn,Marsha,W.,,,Marsha Blackburn,1952-06-06,F,sen,TN,,1,Republican,https://www.blackburn.senate.gov,357 Dirksen Senate Office Building Washington DC 20510,202-224-3344,MarshaBlackburn,marshablackburn,UCvNnmu5mUm7xr8QXBlbtQ9w,B001243,Marsha Blackburn
Blumenauer,Earl,,,,Earl Blumenauer,1948-08-16,M,rep,OR,3,,Democrat,https://blumenauer.house.gov,1111 Longworth House Office Building; Washington DC 20515-3703,202-225-4811,BlumenauerMedia,,UCuziVoKuGn7feNA5VrpxsBQ,B000574,Earl Blumenauer
Blumenthal,Richard,,,,Richard Blumenthal,1946-02-13,M,sen,CT,,3,Democrat,https://www.blumenthal.senate.gov,706 Hart Senate Office Building Washington DC 20510,202-224-2823,SenBlumenthal,SenBlumenthal,UCHH-fn3_LVt0Q4od56rOi5g,B001277,Richard Blumenthal
Blunt,Roy,,,,Roy Blunt,1950-01-10,M,sen,MO,,3,Republican,https://www.blunt.senate.gov,260 Russell Senate Office Building Washington DC 20510,202-224-5721,RoyBlunt,SenatorBlunt,UCFeLRzjhThTmaWzuh5qjpGA,B000575,Roy Blunt
Boozman,John,,,,John Boozman,1950-12-10,M,sen,AR,,3,Republican,https://www.boozman.senate.gov/public,141 Hart Senate Office Building Washington DC 20510,202-224-4843,JohnBoozman,JohnBoozman,UC9vWHKL5OfIYh6kIV0rF2yw,B001236,John Boozman
Brady,Kevin,P.,,,Kevin Brady,1955-04-11,M,rep,TX,8,,Republican,https://kevinbrady.house.gov,1011 Longworth House Office Building; Washington DC 20515-4308,202-225-4901,RepKevinBrady,kevinbrady,UC6Ng0uMQEBVgXO_HF0NbfXA,B000755,Kevin Brady
Brooks,Mo,,,,Mo Brooks,1954-04-29,M,rep,AL,5,,Republican,https://brooks.house.gov,2246 Rayburn House Office Building; Washington DC 20515-0105,202-225-4801,RepMoBrooks,RepMoBrooks,UCgsPSY0MpuQJq8vEqYUSt-g,B001274,Mo Brooks
Buchanan,Vern,,,,Vern Buchanan,1951-05-08,M,rep,FL,16,,Republican,https://buchanan.house.gov,2427 Rayburn House Office Building; Washington DC 20515-0916,202-225-5015,VernBuchanan,CongressmanBuchanan,UCY4DEy41NxOTdcF8_XAVZvw,B001260,Vern Buchanan
Bucshon,Larry,,,,Larry Bucshon,1962-05-31,M,rep,IN,8,,Republican,https://bucshon.house.gov,2313 Rayburn House Office Building; Washington DC 20515-1408,202-225-4636,RepLarryBucshon,RepLarryBucshon,UC0bIliQs0LKZabNwvZ3gnhQ,B001275,Larry Bucshon
Burgess,Michael,C.,,,Michael C. Burgess,1950-12-23,M,rep,TX,26,,Republican,https://burgess.house.gov,2161 Rayburn House Office Building; Washington DC 20515-4326,202-225-7772,MichaelCBurgess,michaelcburgess,UCvvO8lo-Nkc31cEEElqQvQw,B001248,Michael C. Burgess
